jepa_weight,val_loss,val_bpb
0.65,1.29404186,1.86690778
0.15,1.29404957,1.86691890
0.55,1.29478845,1.86798488
0.05,1.29605058,1.86980574
1.00,1.29631343,1.87018496
0.45,1.29670615,1.87075153
0.95,1.29781500,1.87235127
0.90,1.29793175,1.87251969
0.50,1.29838871,1.87317895
0.10,1.29852931,1.87338179
0.80,1.29902096,1.87409110
0.25,1.29983709,1.87526852
0.40,1.29986623,1.87531057
0.30,1.30032384,1.87597075
0.70,1.30298896,1.87981571
0.75,1.30324671,1.88018757
0.85,1.30369632,1.88083622
0.20,1.30434502,1.88177209
0.35,1.30475990,1.88237064
0.60,1.30593691,1.88406871
0.00,1.31746854,1.90070533
