root@f193bdd3c5eb:/workspace/parameter-golf/records/codex_scylla_2/runs/C0# tail -f train.log
stopping_early: wallclock_cap train_time:180386ms step:278/9000
peak memory allocated: 21682 MiB reserved: 22620 MiB
ema:applying EMA weights
DIAGNOSTIC post_ema val_loss:6.2389 val_bpb:3.8661 eval_time:16503ms
Serialized model: 107567030 bytes
Code size: 122439 bytes
Serialized model int6+lzma: 5294760 bytes
Total submission size int6+lzma: 5417199 bytes
final_int6_roundtrip val_loss:6.6460 val_bpb:4.1184 eval_time:19902ms
final_int6_roundtrip_exact val_loss:6.64598424 val_bpb:4.11835538
final_int6_sliding_window val_loss:6.6457 val_bpb:4.1182 stride:64 eval_time:591874ms
final_int6_sliding_window_exact val_loss:6.64571869 val_bpb:4.11819421
final_int8_zlib_roundtrip_exact val_loss:6.64571869 val_bpb:4.11819421
ttt_sliding:start chunks=1892 chunk_tokens=34304 total_windows=1013952 stride=64 ttt_lr=0.0015 ttt_epochs=3 freeze_blocks=2 freeze_embeddings=False
ttt_sliding:params unfrozen=27693900 frozen=4112 frozen_blocks=[0, 1] freeze_emb=False
  ttt_chunk [1/1892] bpb=4.051472 time=1.2s
  ttt_chunk [11/1892] bpb=3.875351 time=11.5s
  ttt_chunk [21/1892] bpb=3.699193 time=21.8s
  ttt_chunk [31/1892] bpb=3.567949 time=32.2s
  ttt_chunk [41/1892] bpb=3.481348 time=42.5s
  ttt_chunk [51/1892] bpb=3.440199 time=52.8s
  ttt_chunk [61/1892] bpb=3.401821 time=63.2s
  ttt_chunk [71/1892] bpb=3.373184 time=73.5s
  ttt_chunk [81/1892] bpb=3.354986 time=83.8s
  ttt_chunk [91/1892] bpb=3.337790 time=94.2s
  ttt_chunk [101/1892] bpb=3.321057 time=104.5s
  ttt_chunk [111/1892] bpb=3.307412 time=114.8s
  ttt_chunk [121/1892] bpb=3.292646 time=125.2s
  ttt_chunk [131/1892] bpb=3.278361 time=135.5s
  ttt_chunk [141/1892] bpb=3.263137 time=145.8s
  ttt_chunk [151/1892] bpb=3.253068 time=156.2s
  ttt_chunk [161/1892] bpb=3.244261 time=166.5s
  ttt_chunk [171/1892] bpb=3.231946 time=176.8s
  ttt_chunk [181/1892] bpb=3.224118 time=187.2s
  ttt_chunk [191/1892] bpb=3.218481 time=197.5s
  ttt_chunk [201/1892] bpb=3.210653 time=207.8s
  ttt_chunk [211/1892] bpb=3.201244 time=218.2s
  ttt_chunk [221/1892] bpb=3.193722 time=228.5s
  ttt_chunk [231/1892] bpb=3.186684 time=238.8s
  ttt_chunk [241/1892] bpb=3.180234 time=249.2s
  ttt_chunk [251/1892] bpb=3.172415 time=259.5s
  ttt_chunk [261/1892] bpb=3.164667 time=269.8s
  ttt_chunk [271/1892] bpb=3.155880 time=280.2s
