root@57f7131ecc21:/workspace/parameter-golf# tail -f /workspace/parameter-golf/records/codex_scylla_2/runs/C1/train.log
stopping_early: wallclock_cap train_time:180295ms step:280/9000
peak memory allocated: 21682 MiB reserved: 22620 MiB
ema:applying EMA weights
DIAGNOSTIC post_ema val_loss:6.2772 val_bpb:3.8898 eval_time:16408ms
Serialized model: 107567030 bytes
Code size: 122439 bytes
Serialized model int6+lzma: 5297672 bytes
Total submission size int6+lzma: 5420111 bytes
final_int6_roundtrip val_loss:6.6923 val_bpb:4.1471 eval_time:19659ms
final_int6_roundtrip_exact val_loss:6.69233716 val_bpb:4.14707916
final_int6_sliding_window val_loss:6.6921 val_bpb:4.1469 stride:64 eval_time:583091ms
final_int6_sliding_window_exact val_loss:6.69211202 val_bpb:4.14694306
final_int8_zlib_roundtrip_exact val_loss:6.69211202 val_bpb:4.14694306
ttt_sliding:start chunks=1892 chunk_tokens=34304 total_windows=1013952 stride=64 ttt_lr=0.0015 ttt_epochs=3 freeze_blocks=2 freeze_embeddings=True
ttt_sliding:params unfrozen=25970760 frozen=1727252 frozen_blocks=[0, 1] freeze_emb=True
  ttt_chunk [1/1892] bpb=4.081978 time=1.1s
  ttt_chunk [11/1892] bpb=4.023145 time=11.2s
  ttt_chunk [21/1892] bpb=3.918534 time=21.3s
  ttt_chunk [31/1892] bpb=3.812167 time=31.5s
  ttt_chunk [41/1892] bpb=3.734851 time=41.6s
  ttt_chunk [51/1892] bpb=3.699771 time=51.8s
  ttt_chunk [61/1892] bpb=3.664967 time=61.9s
  ttt_chunk [71/1892] bpb=3.640821 time=72.1s
  ttt_chunk [81/1892] bpb=3.623525 time=82.2s
  ttt_chunk [91/1892] bpb=3.608583 time=92.3s
  ttt_chunk [101/1892] bpb=3.592837 time=102.5s
  ttt_chunk [111/1892] bpb=3.579591 time=112.6s
  ttt_chunk [121/1892] bpb=3.562479 time=122.8s
  ttt_chunk [131/1892] bpb=3.545705 time=132.9s
  ttt_chunk [141/1892] bpb=3.526202 time=143.1s
  ttt_chunk [151/1892] bpb=3.512953 time=153.2s
  ttt_chunk [161/1892] bpb=3.499980 time=163.3s
  ttt_chunk [171/1892] bpb=3.481976 time=173.5s
  ttt_chunk [181/1892] bpb=3.469499 time=183.6s
  ttt_chunk [191/1892] bpb=3.458980 time=193.8s
  ttt_chunk [201/1892] bpb=3.446358 time=203.9s
  ttt_chunk [211/1892] bpb=3.432943 time=214.1s
  ttt_chunk [221/1892] bpb=3.421960 time=224.2s
  ttt_chunk [231/1892] bpb=3.411660 time=234.3s
  ttt_chunk [241/1892] bpb=3.402534 time=244.5s
  ttt_chunk [251/1892] bpb=3.392896 time=254.6s
  ttt_chunk [261/1892] bpb=3.383655 time=264.8s
  ttt_chunk [271/1892] bpb=3.373238 time=274.9s
  ttt_chunk [281/1892] bpb=3.363086 time=285.1s
  ttt_chunk [291/1892] bpb=3.353370 time=295.2s
  ttt_chunk [301/1892] bpb=3.344722 time=305.3s
  ttt_chunk [311/1892] bpb=3.335542 time=315.5s
  ttt_chunk [321/1892] bpb=3.327299 time=325.6s
  ttt_chunk [331/1892] bpb=3.318923 time=335.8s
  ttt_chunk [341/1892] bpb=3.310691 time=345.9s
  ttt_chunk [351/1892] bpb=3.302746 time=356.1s
  ttt_chunk [361/1892] bpb=3.298925 time=366.2s
  ttt_chunk [371/1892] bpb=3.292231 time=376.3s
  ttt_chunk [381/1892] bpb=3.286114 time=386.5s
  ttt_chunk [391/1892] bpb=3.280271 time=396.6s
  ttt_chunk [401/1892] bpb=3.275003 time=406.8s
  ttt_chunk [411/1892] bpb=3.269018 time=416.9s
  ttt_chunk [421/1892] bpb=3.263370 time=427.1s
  ttt_chunk [431/1892] bpb=3.257567 time=437.2s
  ttt_chunk [441/1892] bpb=3.251518 time=447.3s
  ttt_chunk [451/1892] bpb=3.244876 time=457.5s
  ttt_chunk [461/1892] bpb=3.238877 time=467.6s
