log_path,status,activation_mode,seed,ttt_mode,ttt_param_mode,final_int6_roundtrip_bpb,final_int6_sliding_window_bpb,legal_ttt_bpb,diagnostic_post_ema_bpb,case_name,seed_dir
/workspace/parameter-golf/records/track_10min_16mb/2026-03-24_StreamingTTT_Candidate/bench_1gpu_activation_suite_proxy/codex_asymmetric_square/seed_1337/train.log,ok,asymmetric_square,1337,stream,late_blocks:last_4,1.8337378,1.82915594,1.82446351,1.7724,codex_asymmetric_square,seed_1337
/workspace/parameter-golf/records/track_10min_16mb/2026-03-24_StreamingTTT_Candidate/bench_1gpu_activation_suite_proxy/codex_asymmetric_square/seed_2025/train.log,ok,asymmetric_square,2025,stream,late_blocks:last_4,1.74598568,1.73891208,1.73581438,1.7043,codex_asymmetric_square,seed_2025
/workspace/parameter-golf/records/track_10min_16mb/2026-03-24_StreamingTTT_Candidate/bench_1gpu_activation_suite_proxy/codex_asymmetric_square/seed_42/train.log,ok,asymmetric_square,42,stream,late_blocks:last_4,1.81427718,1.80897647,1.8035419,1.745,codex_asymmetric_square,seed_42
/workspace/parameter-golf/records/track_10min_16mb/2026-03-24_StreamingTTT_Candidate/bench_1gpu_activation_suite_proxy/codex_gated_square/seed_1337/train.log,ok,gated_square,1337,stream,late_blocks:last_4,1.85199966,1.84542617,1.83879625,1.789,codex_gated_square,seed_1337
/workspace/parameter-golf/records/track_10min_16mb/2026-03-24_StreamingTTT_Candidate/bench_1gpu_activation_suite_proxy/codex_gated_square/seed_2025/train.log,ok,gated_square,2025,stream,late_blocks:last_4,1.78337112,1.77603567,1.77118505,1.7347,codex_gated_square,seed_2025
/workspace/parameter-golf/records/track_10min_16mb/2026-03-24_StreamingTTT_Candidate/bench_1gpu_activation_suite_proxy/codex_gated_square/seed_42/train.log,ok,gated_square,42,stream,late_blocks:last_4,1.82834835,1.82237681,1.81265375,1.7624,codex_gated_square,seed_42
/workspace/parameter-golf/records/track_10min_16mb/2026-03-24_StreamingTTT_Candidate/bench_1gpu_activation_suite_proxy/codex_leaky_relu_sq/seed_1337/train.log,ok,leaky_relu_sq,1337,stream,late_blocks:last_4,1.69328378,1.68415278,1.68136663,1.6594,codex_leaky_relu_sq,seed_1337
/workspace/parameter-golf/records/track_10min_16mb/2026-03-24_StreamingTTT_Candidate/bench_1gpu_activation_suite_proxy/codex_leaky_relu_sq/seed_2025/train.log,ok,leaky_relu_sq,2025,stream,late_blocks:last_4,1.69586607,1.6862051,1.68315193,1.6585,codex_leaky_relu_sq,seed_2025
/workspace/parameter-golf/records/track_10min_16mb/2026-03-24_StreamingTTT_Candidate/bench_1gpu_activation_suite_proxy/codex_leaky_relu_sq/seed_42/train.log,ok,leaky_relu_sq,42,stream,late_blocks:last_4,1.71964905,1.71193482,1.70698169,1.6723,codex_leaky_relu_sq,seed_42
/workspace/parameter-golf/records/track_10min_16mb/2026-03-24_StreamingTTT_Candidate/bench_1gpu_activation_suite_proxy/codex_sign_preserving_square/seed_1337/train.log,ok,sign_preserving_square,1337,stream,late_blocks:last_4,1.86831174,1.86188571,1.84999738,1.7783,codex_sign_preserving_square,seed_1337
/workspace/parameter-golf/records/track_10min_16mb/2026-03-24_StreamingTTT_Candidate/bench_1gpu_activation_suite_proxy/codex_sign_preserving_square/seed_2025/train.log,ok,sign_preserving_square,2025,stream,late_blocks:last_4,1.84636041,1.83976865,1.83208797,1.7773,codex_sign_preserving_square,seed_2025
/workspace/parameter-golf/records/track_10min_16mb/2026-03-24_StreamingTTT_Candidate/bench_1gpu_activation_suite_proxy/codex_sign_preserving_square/seed_42/train.log,ok,sign_preserving_square,42,stream,late_blocks:last_4,1.83837985,1.83254705,1.8245143,1.7687,codex_sign_preserving_square,seed_42
