log_path,status,activation_mode,seed,ttt_mode,ttt_param_mode,final_int6_roundtrip_bpb,final_int6_sliding_window_bpb,legal_ttt_bpb,diagnostic_post_ema_bpb,case_name,seed_dir
/workspace/parameter-golf/records/track_10min_16mb/2026-03-24_StreamingTTT_Candidate/bench_1gpu_circuit_scan/chunk_2_11/seed_1337/train.log,ok,leaky_relu_sq,1337,chunk,block_range:2-11,1.75932836,1.75229502,1.73662074,1.7086,chunk_2_11,seed_1337
/workspace/parameter-golf/records/track_10min_16mb/2026-03-24_StreamingTTT_Candidate/bench_1gpu_circuit_scan/chunk_2_11/seed_2025/train.log,ok,leaky_relu_sq,2025,chunk,block_range:2-11,1.70590481,1.69726758,1.68766344,1.6698,chunk_2_11,seed_2025
/workspace/parameter-golf/records/track_10min_16mb/2026-03-24_StreamingTTT_Candidate/bench_1gpu_circuit_scan/chunk_2_11/seed_42/train.log,ok,leaky_relu_sq,42,chunk,block_range:2-11,1.72769883,1.71933372,1.70018016,1.6819,chunk_2_11,seed_42
/workspace/parameter-golf/records/track_10min_16mb/2026-03-24_StreamingTTT_Candidate/bench_1gpu_circuit_scan/chunk_3_8/seed_1337/train.log,ok,leaky_relu_sq,1337,chunk,block_range:3-8,1.71900814,1.71008629,1.70665331,1.686,chunk_3_8,seed_1337
/workspace/parameter-golf/records/track_10min_16mb/2026-03-24_StreamingTTT_Candidate/bench_1gpu_circuit_scan/chunk_3_8/seed_2025/train.log,ok,leaky_relu_sq,2025,chunk,block_range:3-8,1.69291082,1.6835343,1.67970322,1.6639,chunk_3_8,seed_2025
/workspace/parameter-golf/records/track_10min_16mb/2026-03-24_StreamingTTT_Candidate/bench_1gpu_circuit_scan/chunk_3_8/seed_42/train.log,ok,leaky_relu_sq,42,chunk,block_range:3-8,1.78813406,1.78108161,1.76817848,1.729,chunk_3_8,seed_42
/workspace/parameter-golf/records/track_10min_16mb/2026-03-24_StreamingTTT_Candidate/bench_1gpu_circuit_scan/chunk_4_11/seed_1337/train.log,ok,leaky_relu_sq,1337,chunk,block_range:4-11,1.76896733,1.76191432,1.75546327,1.714,chunk_4_11,seed_1337
/workspace/parameter-golf/records/track_10min_16mb/2026-03-24_StreamingTTT_Candidate/bench_1gpu_circuit_scan/chunk_4_11/seed_2025/train.log,ok,leaky_relu_sq,2025,chunk,block_range:4-11,1.60082903,1.58642826,1.5833709,1.5806,chunk_4_11,seed_2025
/workspace/parameter-golf/records/track_10min_16mb/2026-03-24_StreamingTTT_Candidate/bench_1gpu_circuit_scan/chunk_4_11/seed_42/train.log,ok,leaky_relu_sq,42,chunk,block_range:4-11,1.75682208,1.75014208,1.74303412,1.7047,chunk_4_11,seed_42
/workspace/parameter-golf/records/track_10min_16mb/2026-03-24_StreamingTTT_Candidate/bench_1gpu_circuit_scan/chunk_4_9/seed_1337/train.log,ok,leaky_relu_sq,1337,chunk,block_range:4-9,1.82273086,1.81695072,1.81308844,1.7634,chunk_4_9,seed_1337
/workspace/parameter-golf/records/track_10min_16mb/2026-03-24_StreamingTTT_Candidate/bench_1gpu_circuit_scan/chunk_4_9/seed_2025/train.log,ok,leaky_relu_sq,2025,chunk,block_range:4-9,1.76052254,1.75376904,1.75052947,1.7123,chunk_4_9,seed_2025
/workspace/parameter-golf/records/track_10min_16mb/2026-03-24_StreamingTTT_Candidate/bench_1gpu_circuit_scan/chunk_4_9/seed_42/train.log,ok,leaky_relu_sq,42,chunk,block_range:4-9,1.63102446,1.61896274,1.61731647,1.6109,chunk_4_9,seed_42
